Sentence,Category (Binary)
"While the Congress seems to be in revival mode with appointment of new office-bears both at the state and national level, the ruling BJP continues to stare at leadership crisis.",1-Septic
"In Congress, it’s a problem of plenty with too many leaders aspiring to become chief minister, but the BJP has very few potential candidates to replace CM BS Yediyurappa.",1-Septic
"Though the BJP leadership has been reportedly mulling finding a suitable successor to Yediyurappa keeping the 2023 assembly polls in mind, party insiders said it has not been able to execute its plans because of various factors, including Union home minister Amit Shah’s unavailability.",0-Pure
The political predicament also appears to be taking a toll on Yediyurappa and governance as he hasn’t been able to expand the cabinet.,0-Pure
" The party leadership, mainly PM Narendra Modi and Shah, has not given Yediyurappa an audience for six months despite him making attempts to seek permission.",1-Septic
The CM had planned to meet the duo when he completed one year in office but to no avail.,0-Pure
"He’s now scheduled to visit New Delhi on Thursday, where he is expected to meet Union ministers regarding flood relief, development projects related to states and GST compensation, official sources said. ",0-Pure
Speculations are rife in party circles that he may make attempts to meet the PM in the absence of Shah and party president JP Nadda but whether he’ll get nod for cabinet expansion is a million-dollar-question.,1-Septic
"“If he fails to do so, he would face open rebellion from senior MLAs who are unhappy with the delay and it would lead to another round of political crisis,” said a senior minister. ",0-Pure
"“Further delay is likely. Despite threats from new legislators and our own party functionaries, the CM is unable to expand his cabinet without the central leadership’s assent,” added another functionary.",0-Pure
"Not all is well in the Congress too. Following the appointment of new office-bearers to the AICC panel, there is an uneasy calm after senior Congress functionaries Mallikarjun Kharge and Siddaramaiah were unceremoniously removed as Maharashtra in-charge and Congress Working Committee (CWC) member, respectively.",1-Septic
Senior Congress functionaries are particularly upset with senior MLA from Gadag HK Patil being chosen to replace Kharge. ,1-Septic
"“The party should make a concerted effort to infuse fresh blood in the state-level party organisation and not just play a game of musical chairs of shuffling people across positions. Those with grassroots support need to be inducted to galvanise the party,” said Sandeep Shastri, a political analyst.",0-Pure
"Taking serious note of allegations pertaining to irregularities in gravel extraction in the district, the government has ordered a probe. ",0-Pure
 Panchayat raj and mining minister Pedireddy Ramachandra Reddy took the decision after receiving complaints from party legislators in the district and asked district collector Samuel Anand Kumar and mines & geology department director Venkata Reddy to conduct a probe into the issue and submit a report.,0-Pure
Sources said the party legislator reportedly submitted a detailed report with evidence which prompted the minister to order the inquiry.,0-Pure
 The legislator is his report said that large quantities of gravel had been excavated from his constituency without requisite permits and sold to private realtors.,0-Pure
The legislator claimed that the gravel was extracted on the pretext of land-levelling work for the house site project under Nava Rathnalu scheme.,0-Pure
"“The Mandal Parishad Development Officers (MPDOs) of at least 6-7 mandals in the district were involved in the scandal as the gravel was taken away from different quarries disproportionate to the permits issued by the mines department,” the legislator said.",0-Pure
He submitted also certain documents to substantiate his point on the illegal mining activity.,0-Pure
"“The MPDOs requisitioned for supply of about 83,755 cubic meters of gravel for levelling... However, about 1,62,855 cubic meters of gravel was lifted from one mandal which means that nearly 79,000 cubic meters of gravel was sold out illegally,” the legislator said in his letter to the minister.",0-Pure
 He said that massive illegal mining had not only caused serious damage to the ecology but also caused irreparable loss to the exchequer.,0-Pure
The legislator said that field level officials had taken advantage of chief minister YS Jaganmohan Reddy’s programme to distribute house-sites among the poor to make money.,0-Pure
"Curiously, an MPDO, who is suspected to have played key role in the irregularities, went on long-leave, soon after the minister ordered a probe into the scandal.",0-Pure
The Indian government has set up an inquiry into the revelations that a Chinese company is spying on Indian citizens including the top political class and officials across the board.,0-Pure
The issue was raised in the ongoing Parliamentary session by Congress MP KC Venugopal on Wednesday.,0-Pure
"Foreign minister S Jaishankar, in a letter to Venugopal, said that China had denied any links with the private company while the company Shenzhen Zhenhua had also said that the data collected was from open sources and was no different from what was done by western companies.",0-Pure
It had denied accessing private information about the individuals from confidential sources.,0-Pure
Jaishankar said the MEA took up the matter with the Chinese ambassador on Wednesday while the Indian embassy in Beijing also broached the subject with the foreign ministry of China.,0-Pure
"“The Government of India takes very seriously the protection of the privacy and personal data of Indian citizens. It is deeply concerned at any report that suggests that foreign sources are accessing or seeking to access the personal data of our citizens without their consent. The Government has constituted an Expert Committee under the National Cyber Security Coordinator to study these reports, evaluate their implications, assess any violations of law and submit its recommendations within thirty days,” the minister wrote.",0-Pure
" A lively debate in the Rajya Sabha on Wednesday saw the opposition attacking the government over ""mishandling"" the migrant situation and an ""unplanned"" lockdown while the treasury benches countered by pointing to government schemes to assist the poor and targeted some states like Maharashtra for failing to adequately deal with the pandemic.",1-Septic
"Congress sought compensation for the families of migrant workers who died while walking to their native places with party's deputy leader in the House, Anand Sharma, pointing out that images of deprivation that went out from India cannot be denied even as he said that medical professionals and other frontline workers faced a steep learning curve.",0-Pure
"The Upper House debate, the first discussion on the Covid situation, proved to be a sharp affair with BJP's Vinay Sahashrabuddhe taking potshots at the Shiv Sena-led government in Maharashtra saying a near-absent leadership — he did not name Uddhav Thackeray — had failed to lead the administrative response.",1-Septic
"Pro-Congress voices were wondering if a special lift would have to be made to accommodate the leader's car so he could visit his office in Mantralaya, he said, pointing out that the main opposition was an alliance partner in the state government.",0-Pure
Trinamool's Derek O'Brien said the Centre should be humble in dealing with the states and pointed to West Bengal chief minister Mamata Banerjee drawing social distancing circles in public spaces.,0-Pure
"Starting the debate, Sharma also sought to know from the government why there was no figure for the number of migrants who died.",0-Pure
"""There should be a register and those people who live in cities who did not get food security, ration, please find solution for such exigencies,"" Sharma said.",0-Pure
MPs cutting across party lines also insisted during the debate that more time be allowed for discussions on the pandemic.,1-Septic
The debate will resume on Thursday when health minister Harsh Vardhan will reply.,0-Pure
"Accusing the Centre of not consulting experts to draw a strategy to deal with the pandemic, O' Brien said out of every Rs 100 spent on public health, Rs 63 comes from the states and only Rs 37 from the central government.",0-Pure
"""The problem is when things are going good, you want to take the credit. When things are tough, you start talking about chief ministers,"" he said, adding that the PM Cares Fund was the most ""opaque"" fund in the world.",0-Pure
"RCP Singh of JD(U) said during the pandemic, workers from Bihar, who contributed to the development of other states as migrant labour, were ""deserted"".",0-Pure
"There are over 20 lakh migrants workers from Bihar who were sent back without recognising their contribution and now they are being called back by their respective employers, he said.

",0-Pure
"Swapan Dasgupta, a pro-BJP nominated member, said there was an element of confusion over the total number of Covid-19 cases.",0-Pure
"""We agree that there is a huge number of people that has been infected. The story which goes throughout the world is that somehow our figure is understated,"" he said.",0-Pure
"""Now, I do not know whether that is true or false but a lot of mathematical modelling on which they are based on would suggest that actually in India the tally would go up to 70 to 80 crore, which seems an absurd proposition,"" he added.",0-Pure
Tiruchi Siva (DMK) alleged late action by the government in initiating steps to tackle Covid-19 and said this delay has led to the present situation. ,0-Pure
" ""The first case was detected in January and the self-imposed curfew started from March 23,"" he said. He alleged that the government was ""under-reporting"" cases. ",0-Pure
" Three months after passing an amendment to sanction a new political map that identifies Indian territory in Uttarakhand’s Pithoragarh as its own, Nepal has inscribed the changes in its academic curriculum and currency.",0-Pure
"The office of Nepal education minister Giriraj Mani Pokharel confirmed to TOI the book, ‘Nepalko Bhubhaag Ra Seemasambandhi Swadhyay Samagri (Nepal’s geography and territorial boundary)’ has been introduced for higher secondary school students.",0-Pure
The book includes the disputed area of Kalapani in Uttarakhand as Nepal’s territory. ,0-Pure
" A source said it mentions Nepal has a geographical area of 1,47,641.28 sq km, of which 460 sq km is the Kalapani area.",1-Septic
"The same day, the Nepal cabinet, headed by PM K P Oli, also gave permission to the country’s central bank, Nepal Rastra Bank, to mint new coins of one-rupee and two-rupee denominations with the new political map. ",0-Pure
Sources said this was announced by the Nepal government spokesperson and foreign minister Pradeep Gyawali.,1-Septic
"In all likelihood, sources added, the new coins will be in circulation by Dussehra (Dashain, as it’s called there), celebrated as a major festival in the neighbouring country.",1-Septic
"In November last year, Nepal had protested against the inauguration of a key Lipulekh road in Pithoragarh by Union defence minister Rajnath Singh, alleging that a part of the stretch passed through Nepal’s territory.",0-Pure
" After a renewed dispute over three areas — Limpiyadhura, Lipulekh and Kalapani — Nepal’s parliament unanimously voted to amend the Constitution to update the country’s map to include them as part of its land.",0-Pure
The government had then announced that all documents will start using the new map.,0-Pure
"So now, a source said, introduction of the map in school books and coins is “fully legal” because it follows what is a regular course of action.",0-Pure
"“The government has started the process of issuing the new maps to Nepal embassies and is introducing it in government gazettes as well,” the source added.",0-Pure
"Many in Nepal, meanwhile, said the need for a resolution is getting more important by the day.",1-Septic
"“There have been misunderstandings between the two nations over the past few months. However, introducing a new Nepal map is a sovereign decision by the country,” Khadga KC, head of the department of international relations and diplomacy at Tribhuvan University, told TOI.",0-Pure
“But I do believe that the issues should be resolved through dialogue and a solution must be found.”,0-Pure
" A day after BJP’s oldest ally Shiromani Akali Dal pulled out of the Modi government to protest against the legislations meant to restructure agricultural trade, and amid continuing opposition from Congress and some other parties, PM Narendra Modi went on the offensive on Friday and called the bills a “historic” pro-farmer measure and dismissed the resistance as having been engineered by “middlemen”.",0-Pure
He also assured farmers procurement of their produce under the minimum support price (MSP) regime would continue.,0-Pure
"“Yesterday was a historic day for the country in the field of agricultural reforms. The agricultural reform bills have been passed which has liberated our farmers from many restrictions,” Modi said while addressing a virtual meeting after launching railway projects for poll-bound Bihar.",0-Pure
" “Middlemen used to take a major part of farmers’ profits. The bill will prove to be protective cover for farmers,” he added.",0-Pure
His remarks came after he forwarded the resignation of Akali Dal’s Harsimrat Kaur Badal as minister for food processing and amid Congress’s effort to step up its opposition to the troika of bills meant to reform trade in farm produce.,0-Pure
"Congress called protests against the bills a “Mahabharata” for farmers and dubbed the Modi government as the “Kauravas”. It also sought to enlist allies by appealing to BJP’s coalition partners in Bihar and Haryana, JD(U) and JJP respectively, as well as regional formations YSRCP, TRS and AIADMK.",0-Pure
"“This is Mahabharat in which BJP is in the role of Kauravas who are anti-farmer and facing them are Pandavas in the form of farmers and farm labourers. Congress is with the Pandavas. Now, all the BJP allies who are enjoying power will have to decide if they stand with farmers or with Kauravas,” party spokesperson R S Surjewala said.",0-Pure
"Punjab CM Amarinder Singh claimed the legislations would lead to growing angst among people in the border state, “thus giving Pakistan the opportunity to stoke more fires”.",0-Pure
He added that Delhi must rethink its “anti-farmer” move as it would undo the sacrifices made by Punjab and its farmers over the last 65 years to make India self-sufficient in food.,0-Pure
Harsimrat Badal justified her walkout and claimed that BJP had disregarded SAD's demand for sounding out allies on the farm bills.,0-Pure
"“I kept on protesting ever since these ordinances were circulated for comments in the cabinet. I was acting like a bridge between farmers and the government to clear all doubts and fears of farmers. I kept on pleading that the government should not bring these bills until all apprehensions and fears of farmers are cleared,” she said.",0-Pure
"“I feel very saddened about the fact that my voice was not heard in the cabinet and the government did not send it to a parliamentary select committee for consultations with all stakeholders, including farmers. If my voice had been heard, farmers would not have come out on roads to protest,” she added.",0-Pure
The day also witnessed BSP chief Mayawati opposing the bills as “anti-farmer”.,1-Septic
"“Two bills related to farmers were passed by Parliament yesterday without removing their doubts. BSP does not approve of this. What does the farmer of the country want? It would be better if the central government pays attention in this regard,” she tweeted.",0-Pure
"Modi and BJP, however, remained unfazed, with the PM recalling Congress's support to very same measures that his government has taken, and accusing it of opportunism.",1-Septic
"“There are parties, who ruled the country for decades, who are trying to misguide farmers. These parties had made electoral promises, these reforms were part of their manifesto but when the NDA has done it, they are opposing it,” the PM said, referring to Congress.",0-Pure
Modi asked farmers to beware of the lies being spread on behalf of middlemen.,0-Pure
"BJP got assistance from its Haryana ally JJP which, defying the widely held expectation, refused to join the Akalis in opposing the three legislations.",0-Pure
"The party's stand, announced by its leader Ajay Chautala, is significant because the Haryana outfit, just like the Akalis, draws its political sustenance from farmers.",0-Pure
"Other BJP leaders, including party chief J P Nadda and home minister Amit Shah, remained on the offensive, standing by the legislations and attacking Congress.",0-Pure
"Protests against the bills, which, put together, seek to liberalise farm trade by ending the monopoly of ""mandis"" and curbing the role of ""arhatiyas"" (middlemen), have so far been confined to the procurement zones of Punjab, Haryana and parts of western UP. They are unlikely to spread far and wide because of the meagre number of farmers who can produce marketable surplus.",1-Septic
"Yet, aggressive protests in the capital’s neighbourhood would be bad optics for the government, especially at a time when it is grappling with the triple challenges of Covid-19, China's aggression on the border and a contracting economy.",0-Pure
"The government does seem to be alive to the risk and has moved in aggressively to rebut the suggestion that the reforms will mark an end of the minimum support price (MSP) regime. However, it is determined to stick to the course and aggressively take on the challengers.",1-Septic
